Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1011501,Rosemount,MN,55414,13425 Courthouse Blvd,DAKOTA COUNTY,"Other,Waste",224603.45,3.7,224599.75
1001182,NEWBURGH,NY,12550,992 RIVER ROAD,Orange,Power Plants,329654.466,328815.2,268
1000485,ROSEVILLE,CA,95747,5120 PHILLIP RD,Placer,Power Plants,271698.344,271422.7,125.75
1010794,Rothschild,WI,54474,210 N. Grand Avenue,MARATHON COUNTY,Power Plants,51679.21,45667.7,872.5
1012599,Meshoppen,PA,18630,960 State Route 267,SUSQUEHANNA COUNTY,Power Plants,22932.412,22908.3,11
1001068,PEABODY,MA,01960,227 WASHINGTON ST.,ESSEX COUNTY,Chemicals,42238.34,42194.5,20
1000787,SEMORA,NC,27343,1700 DUNNAWAY ROAD,Person,"Power Plants,Waste",5406815.36,5360355.1,18971.25
1011553,Byhalia,MS,38611,4594 Cayce Road,MARSHALL COUNTY,Minerals,23608.624,23495.2,42.5
1003871,Sugar Creek,MO,64050,2031 N. Courtney Road,JACKSON COUNTY,Waste,4242.35,43.1,4199.25
1001312,RUMFORD,ME,04276,43 INDUSTRIAL PARK ROAD,Oxford,Power Plants,173405.508,173229.6,80.25
1004856,Cincinnati,OH,45251,10795 Hughes Rd,HAMILTON COUNTY,Waste,260597.704,1511.56,259085.25
1001035,FESTUS,MO,63028,100 BIG HOLLOW ROAD,Jefferson,Power Plants,4540056.444,4504474.5,13015
1000501,Hayward,CA,94545,3862 Depot Road,Alameda,Power Plants,413529.164,413108.3,192
1005495,Newark,NJ,07101,30 Bergen Street ADMC #2 Suite 207,ESSEX COUNTY,Other,42678.94,42635.1,20
1013519,Shelbyville,IN,46176,800 W. Mausoleum Road,SHELBY COUNTY,Metals,36999.56,36961.2,17.5
1007636,CLARKSBURG,WV,26301,4439 Good Hope Pike,HARRISON COUNTY,Waste,62018.85,0.1,62018.75
1000784,JAMESTOWN,NY,14702,136 STEELE ST,Chautauqua,Power Plants,39969.052,39928.5,18.5
1005123,WESTBROOK,ME,04092,89 CUMBERLAND STREET,CUMBERLAND COUNTY,Pulp and Paper,15893.24,15876.8,7.5
1001501,ST MARKS,FL,32355,HWY 363,Wakulla,Power Plants,582925.674,582330.7,270.75
1007511,MOUNT VERNON,IN,47620,1 LEXAN LN,POSEY COUNTY,Other,613938.088,613304.6,289
1001136,BURKVILLE,AL,36752,1 PLASTICS DR,Lowndes,Power Plants,346862.46,346509,161.25
1003842,OTTAWA,IL,61350,2148 NORTH 2753RD ROAD,LASALLE COUNTY,Other,26413.3,26385.9,12.5
1003382,ORANGE,TX,77631,3055 FARM RD. 1006,ORANGE COUNTY,Chemicals,808761.616,795536.4,11789.75
1003276,EAST CHICAGO,IN,46312,601 RILEY RD,LAKE COUNTY,Petroleum and Natural Gas Systems,71572.852,71474.3,39.25
1003647,HENDERSON,NV,89009,435 FOURTH STREET  HENDERSON,CLARK COUNTY,Power Plants,270868.832,270589.9,127.25
1001925,SAINT JOSEPH,MO,64507,9431 50TH ROAD SOUTHEAST,BUCHANAN COUNTY,Waste,25126,38.5,25087.5
1006686,ROCHESTER,MN,55902,1216 2ND STREET SOUTHWEST,OLMSTED COUNTY,Other,53229.848,53174.5,25.25
1003037,WORCESTER,MA,01615,1 NEW BOND STREET,WORCESTER COUNTY,Minerals,51947.412,51895.9,23.5
1007261,ALLOWAY,NJ,08001,52 MCKILLIP RD,SALEM COUNTY,Waste,60399.5,36.5,60363
1003265,OPELIKA,AL,36804,4210 LEE RD #183,LEE COUNTY,Waste,51567.988,693.2,50873
1002550,SALINA,KS,67402,4292 SOUTH BURMA ROAD,SALINE COUNTY,Waste,80737.5,12.5,80725
1003471,SALT LAKE CITY,UT,84104,6030 WEST 1300 SOUTH,SALT LAKE COUNTY,Waste,138979.95,35.7,138944.25
1006395,RODEO,CA,94572,1380 SAN PABLO AVENUE,CONTRA COSTA COUNTY,"Chemicals,Petroleum Product Suppliers,Refineries",1295946.842,1289765.1,2537.5
1002565,BAKERSFIELD,CA,93308,3500 SHELL STREET,KERN COUNTY,"Chemicals,Petroleum Product Suppliers,Refineries",92409.3,91857.1,507.5
1003565,AZTEC,NM,87410,"3140 #78, 8 MILES NE OF FARMIN",SAN JUAN COUNTY,Waste,70954.998,187.2,70767.5
1006304,COLLINSVILLE,AL,35961,3345 COUNTY ROAD 209,DEKALB COUNTY,Waste,54189.45,4.2,54185.25
1003508,TROY,AL,36079,100 SANDERS ROAD,PIKE COUNTY,Metals,221944.32,221922.4,10
1002096,SPRINGFIELD,IL,62707,2565 SANDHILL RD,SANGAMON COUNTY,Waste,16033.05,13.3,16019.75
1000360,GREEN BAY,WI,54303,2099 BADGERLAND DRIVE,BROWN COUNTY,Other,26954.948,26927,12.75
1006361,SWIFTWATER,PA,18370,1 DISCOVERY DRIVE,MONROE COUNTY,Chemicals,38433.356,38393.9,18
1004882,SANTA MARIA,CA,93454,2065 EAST MAIN STREET,SANTA BARBARA COUNTY,Waste,6522.75,19.5,6503.25
1005086,SUMTER,SC,29153,19 PROGRESS ST.,SUMTER COUNTY,Other,18747.292,18720.7,10.5
1001995,CLOQUET,MN,55720,2201 AVENUE B,CARLTON COUNTY,"Pulp and Paper,Waste",182005.51,164191,13755.75
1006847,WAUPUN,WI,53963,N3545 CTH EE,FOND DU LAC COUNTY,Other,34900.068,34863.9,16.5
1002230,TULARE,CA,93274,800 EAST PAIGE AVENUE,TULARE COUNTY,Other,64276.808,64210.5,30.25
1001935,SPRINGFIELD,NE,68059,14414 South 156th Street,SARPY COUNTY,Waste,33656.7,8.7,33648
1003687,CANTON TWP,MI,48188,5011 LILLEY ROAD,WAYNE COUNTY,Waste,112504.35,40.1,112464.25
1001882,PORT WENTWORTH,GA,31407,201 OXNARD DRIVE,CHATHAM COUNTY,Other,150740.364,150500.4,100.5
1003248,STURTEVANT,WI,53177,8311 16TH ST,RACINE COUNTY,Chemicals,26487.768,26389.9,33.5
1004113,South Glens Falls,NY,12803,One River St.,SARATOGA COUNTY,Pulp and Paper,28481.592,28452,13.5
1002564,DAVENPORT,IA,52804,11555 110TH AVENUE,SCOTT COUNTY,Waste,8716.6,26.6,8690
1014364,New Haven,IN,46774,1640 S. Ryan Rd.,ALLEN COUNTY,Metals,34275.62,34240,16.25
1003281,ANGLETON,TX,77516,10310 FM 528 RD,BRAZORIA COUNTY,Waste,43189.85,0.1,43189.75
1006359,PORT LAVACA,TX,77979,8618 STATE HIGHWAY 185 NORTH,CALHOUN COUNTY,Petroleum and Natural Gas Systems,101154.724,100735.8,124.5
1009925,West Grove,PA,19390,219 Street Road,CHESTER COUNTY,Waste,27776.066,22,27749
1005710,ROCHESTER,MA,02770,141 CRANBERRY HIGHWAY ROUTE 28,PLYMOUTH COUNTY,Waste,493540.364,473809,7694.25
1005638,ELLENWOOD,GA,30294,4203 CLEVEMONT ROAD,DEKALB COUNTY,Waste,351799.974,61.5,351712.25
1004042,WATERLOO,NY,13165,1786 SALCMAN ROAD,SENECA COUNTY,Waste,161101.25,18,161083.25
1004262,LIVINGSTON,CA,95334,9984 WEST WALNUT AVENUE,MERCED COUNTY,Other,45134.08,45087.5,21.25
1006964,EAU CLAIRE,WI,54703,8001 OLSON DR,EAU CLAIRE COUNTY,Waste,26275.1,23.6,26251.5
1007050,NEW ORLEANS,LA,70118,8801 SPRUCE ST,ORLEANS PARISH,Other,71287.614,71210.5,34.5
1007686,CAIRNBROOK,PA,15924,1176 NO. 1 ROAD,SOMERSET COUNTY,Waste,8523.75,694.5,7829.25
1005580,DALTON,GA,30720,2225 SOUTH HAMILTON STREET EXTENSION,WHITFIELD COUNTY,Other,40908.396,40866.2,19.25
1007876,COLUMBIA,SC,29210,4401 SAINT ANDREWS ROAD,LEXINGTON COUNTY,Other,79065.952,78984.3,37.25
1001936,GEISMAR,LA,70734,7594 HIGHWAY 75,ASCENSION PARISH,Chemicals,1063569.816,1062253.8,521.25
